Chip,Plate_Location,Population_Name,no_accent_pop_name,Sample,CEL_file_name,Sex,Paternal_ID,Maternal_ID,Phenotype,Notes,Owner,Private/Public,City,State/Province,Country,Region,Latitude,Longitude,Year,Include_in_chip_manuscript
2,B04,Pre_Release_Centro,Pre_Release_Centro,Jac_082,Jac_082,F,,,,,Andrea Gloria-Soria,,Jacobina,Bahia,Brazil,New_World,-11.18356,-40.513876,2013,yes
2,B05,Pre_Release_Centro,Pre_Release_Centro,Jac_090,Jac_090,M,,,,,Andrea Gloria-Soria,,Jacobina,Bahia,Brazil,New_World,-11.18356,-40.513876,2013,yes
2,B06,Pre_Release_Centro,Pre_Release_Centro,Jac_005,Jac_005,M,,,,,Andrea Gloria-Soria,,Jacobina,Bahia,Brazil,New_World,-11.18356,-40.513876,2013,yes
2,B07,Pre_Release_Centro,Pre_Release_Centro,Jac_013,Jac_013,M,,,,,Andrea Gloria-Soria,,Jacobina,Bahia,Brazil,New_World,-11.18356,-40.513876,2013,yes
2,B08,Pre_Release_Centro,Pre_Release_Centro,Jac_021,Jac_021,F,,,,,Andrea Gloria-Soria,,Jacobina,Bahia,Brazil,New_World,-11.18356,-40.513876,2013,yes
2,B09,Madera,Madera,C_Mad_051,C_Mad_052,F,,,,,Andrea Gloria-Soria,,Madera,California,USA,New_World,36.963744,-120.06937,2013,
2,B10,Clovis,Clovis,Clovis_062,Clovis_063,F,,,,,Andrea Gloria-Soria,,Clovis,California,USA,New_World,36.827016,-119.691764,2013,
2,B11,Liverpool_Severson,Liverpool_Severson,Liv_052,Liv_053,M,,,,"D. Severson lab, U. Notre Dame used to generate the AaegL1 assembly.",Andrea Gloria-Soria,,Freetown,,Sierra Leone,Africa,,,2013,
2,B12,Rockefeller_Severson,Rockefeller_Severson,RockF_021,RockF_022,F,,,,"D. Severson lab. University of Notre Dame strain. In 1959, was shipped from Fort Detrick to the University of Notre Dame",Andrea Gloria-Soria,,Notre Dame U,,Rockefeller,Lab,,,1959,
2,C01,OX513A,OX513A,OX513_005,OX513_005,,,,,,Andrea Gloria-Soria,,Oxitec (Transgenic),,Oxitec,Lab,,,2014,
2,C02,OX513A,OX513A,OX513_013,OX513_013,,,,,,Andrea Gloria-Soria,,Oxitec (Transgenic),,Oxitec,Lab,,,2014,
2,C03,OX513A,OX513A,OX513_023,OX513_023,,,,,,Andrea Gloria-Soria,,Oxitec (Transgenic),,Oxitec,Lab,,,2014,
2,C04,Pre_Release_Centro,Pre_Release_Centro,Jac_083,Jac_083,F,,,,,Andrea Gloria-Soria,,Jacobina,Bahia,Brazil,New_World,-11.18356,-40.513876,2013,yes
2,C05,Pre_Release_Centro,Pre_Release_Centro,Jac_091,Jac_091,M,,,,,Andrea Gloria-Soria,,Jacobina,Bahia,Brazil,New_World,-11.18356,-40.513876,2013,yes
2,C06,Pre_Release_Centro,Pre_Release_Centro,Jac_006,Jac_006,M,,,,,Andrea Gloria-Soria,,Jacobina,Bahia,Brazil,New_World,-11.18356,-40.513876,2013,yes
2,C07,Pre_Release_Centro,Pre_Release_Centro,Jac_014,Jac_014,M,,,,,Andrea Gloria-Soria,,Jacobina,Bahia,Brazil,New_World,-11.18356,-40.513876,2013,yes
2,C08,Pre_Release_Centro,Pre_Release_Centro,Jac_022,Jac_022,F,,,,,Andrea Gloria-Soria,,Jacobina,Bahia,Brazil,New_World,-11.18356,-40.513876,2013,yes
2,C09,Madera,Madera,C_Mad_052,C_Mad_053,F,,,,,Andrea Gloria-Soria,,Madera,California,USA,New_World,36.963744,-120.06937,2013,
2,C10,Clovis,Clovis,Clovis_064,Clovis_065,M,,,,FAILED,Andrea Gloria-Soria,,Clovis,California,USA,New_World,36.827016,-119.691764,2013,
2,C11,Liverpool_Severson,Liverpool_Severson,Liv_054,Liv_055,M,,,,"D. Severson lab, U. Notre Dame used to generate the AaegL1 assembly.",Andrea Gloria-Soria,,Freetown,,Sierra Leone,Africa,,,2013,
2,C12,Rockefeller_Severson,Rockefeller_Severson,RockF_049,RockF_050,F,,,,"D. Severson lab. University of Notre Dame strain. In 1959, was shipped from Fort Detrick to the University of Notre Dame",Andrea Gloria-Soria,,Notre Dame U,,Rockefeller,Lab,,,1959,
2,D01,OX513A,OX513A,OX513_006,OX513_006,,,,,,Andrea Gloria-Soria,,Oxitec (Transgenic),,Oxitec,Lab,,,2014,
2,D02,OX513A,OX513A,OX513_014,OX513_014,,,,,,Andrea Gloria-Soria,,Oxitec (Transgenic),,Oxitec,Lab,,,2014,
2,D03,OX513A,OX513A,OX513_020,OX513_020,,,,,,Andrea Gloria-Soria,,Oxitec (Transgenic),,Oxitec,Lab,,,2014,
2,D04,Pre_Release_Centro,Pre_Release_Centro,Jac_041,Jac_041,F,,,,,Andrea Gloria-Soria,,Jacobina,Bahia,Brazil,New_World,-11.18356,-40.513876,2013,yes
2,D05,Pre_Release_Centro,Pre_Release_Centro,Jac_092,Jac_092,M,,,,,Andrea Gloria-Soria,,Jacobina,Bahia,Brazil,New_World,-11.18356,-40.513876,2013,yes
2,D06,Pre_Release_Centro,Pre_Release_Centro,Jac_007,Jac_007,M,,,,,Andrea Gloria-Soria,,Jacobina,Bahia,Brazil,New_World,-11.18356,-40.513876,2013,yes
2,D07,Pre_Release_Centro,Pre_Release_Centro,Jac_015,Jac_015,M,,,,,Andrea Gloria-Soria,,Jacobina,Bahia,Brazil,New_World,-11.18356,-40.513876,2013,yes
2,D08,Pre_Release_Centro,Pre_Release_Centro,Jac_023,Jac_023,F,,,,,Andrea Gloria-Soria,,Jacobina,Bahia,Brazil,New_World,-11.18356,-40.513876,2013,yes
2,D09,Madera,Madera,C_Mad_055,C_Mad_056,M,,,,,Andrea Gloria-Soria,,Madera,California,USA,New_World,36.963744,-120.06937,2013,
2,D10,Liverpool_Severson,Liverpool_Severson,Liv_002,Liv_002,F,,,,"D. Severson lab, U. Notre Dame used to generate the AaegL1 assembly.",Andrea Gloria-Soria,,Freetown,,Sierra Leone,Africa,,,2013,
2,D11,Liverpool_Severson,Liverpool_Severson,Liv_055,Liv_055,M,,,,"D. Severson lab, U. Notre Dame used to generate the AaegL1 assembly.",Andrea Gloria-Soria,,Freetown,,Sierra Leone,Africa,,,2013,
2,D12,Rockefeller_Severson,Rockefeller_Severson,RockF_050,RockF_051,F,,,,"D. Severson lab. University of Notre Dame strain. In 1959, was shipped from Fort Detrick to the University of Notre Dame",Andrea Gloria-Soria,,Notre Dame U,,Rockefeller,Lab,,,1959,
2,E01,OX513A,OX513A,OX513_007,OX513_007,,,,,,Andrea Gloria-Soria,,Oxitec (Transgenic),,Oxitec,Lab,,,2014,
2,E02,OX513A,OX513A,OX513_015,OX513_015,,,,,,Andrea Gloria-Soria,,Oxitec (Transgenic),,Oxitec,Lab,,,2014,
2,E03,OX513A,OX513A,OX513_025,OX513_025,,,,,,Andrea Gloria-Soria,,Oxitec (Transgenic),,Oxitec,Lab,,,2014,
2,E04,Pre_Release_Centro,Pre_Release_Centro,Jac_076,Jac_076,M,,,,,Andrea Gloria-Soria,,Jacobina,Bahia,Brazil,New_World,-11.18356,-40.513876,2013,yes
2,E05,Pre_Release_Centro,Pre_Release_Centro,Jac_094,Jac_094,M,,,,,Andrea Gloria-Soria,,Jacobina,Bahia,Brazil,New_World,-11.18356,-40.513876,2013,yes
2,E06,Pre_Release_Centro,Pre_Release_Centro,Jac_008,Jac_008,M,,,,,Andrea Gloria-Soria,,Jacobina,Bahia,Brazil,New_World,-11.18356,-40.513876,2013,yes
2,E07,Pre_Release_Centro,Pre_Release_Centro,Jac_016,Jac_016,F,,,,,Andrea Gloria-Soria,,Jacobina,Bahia,Brazil,New_World,-11.18356,-40.513876,2013,yes
